Mode  Freq[Hz]
  1      2.004
  2      2.560
  3      3.196
  4      3.833
  5      4.912
  6      5.347
  7      7.045
  8      7.327
  9      7.625
 10      8.318
 11      9.539
 12      9.679
 13      9.801
 14     12.402
 15     12.450
 16     14.773
 17     15.633
 18     15.635
 19     15.697
 20     18.912
