Mode  Freq[Hz]
  1      3.368
  2      4.164
  3      5.829
  4      7.037
  5      7.054
  6      8.112
  7      9.478
  8     10.037
  9     11.109
 10     13.285
 11     16.664
 12     17.187
 13     17.523
 14     19.195
 15     20.060
 16     24.921
 17     26.445
 18     26.448
 19     27.326
 20     27.573
